Region,Label,FAOSTAT Area Code,Eurostat geo,ISO3166-1 alpha-2,ISO3166-1 alpha-3,Comment
AT,Austria,11,AT,AT,AUT,
BE,Belgium,255,BE,BE,BEL,
BE_LU,Belgium and Luxembourg,15,,,,
BG,Bulgaria,27,BG,BG,BGR,
HR,Croatia,98,HR,HR,HRV,
CZ,Czechia,167,CZ,CZ,CZE,
CZ_SK,Former Czechoslovakia,51,,,,
DK,Denmark,54,DK,DK,DNK,
EE,Estonia,63,EE,EE,EST,
FI,Finland,67,FI,FI,FIN,
FR,France,68,FR,FR,FRA,
DE,Germany,79,DE,DE,DEU,
DE_west,West Germany,78,,,,
DE_east,East Germany,77,,,,
GR,Greece,84,EL,GR,GRC,
HU,Hungary,97,HU,HU,HUN,
IE,Ireland,104,IE,IE,IRL,
IT,Italy,106,IT,IT,ITA,
LV,Latvia,119,LV,LV,LVA,
LT,Lithuania,126,LT,LT,LTU,
LU,Luxembourg,256,LU,LU,LUX,
NL,Netherlands,150,NL,NL,NLD,
PL,Poland,173,PL,PL,POL,
PT,Portugal,174,PT,PT,PRT,
RO,Romania,183,RO,RO,ROU,
SK,Slovakia,199,SK,SK,SVK,
SI,Slovenia,198,SI,SI,SVN,
ES,Spain,203,ES,ES,ESP,
SE,Sweden,210,SE,SE,SWE,
GB,United Kingdom,229,UK,GB,GBR,
YU_SFR,SFR Yugoslavia,248,,,,
EU28_X_CY_MT,"Former EU28 except CY and MT",,,,Former EU28 excluding Cyprus and Malta
EU28_X_CY_EE_LT_LV_MT_SI,"Former EU28 except CY, EE, LT, LV, MT, SI",,,,"Former EU28 excluding Cyprus, Estonia, Lithuania, Latvia, Malta, and Slovenia"
